Scenario TID,Requirement Id,Test Type,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Steps to Execute,Expected Result ,Actual Result ,Status,Executed QA Name,Misc (Comments),Priority,Is Automated,Is Manual
TC_AUTH_001,RQ_AUTH_01,Positive,Verify token generation with valid credentials,API is accessible,Send POST request to /auth with valid username and password,API returns status code 200 and token,,Execute POST request via API client,Token generated successfully,,Not Executed,,,High,No,Yes
TC_AUTH_002,RQ_AUTH_01,Negative,Verify token generation with invalid username,API is accessible,Send POST request to /auth with invalid username,API returns failure message (Bad credentials),,Execute POST request via API client,Token not generated,,Not Executed,,,High,No,Yes
TC_AUTH_003,RQ_AUTH_01,Negative,Verify token generation with invalid password,API is accessible,Send POST request to /auth with invalid password,API returns failure message (Bad credentials),,Execute POST request via API client,Token not generated,,Not Executed,,,High,No,Yes
TC_AUTH_004,RQ_AUTH_01,Negative,Verify token generation with empty payload,API is accessible,Send POST request to /auth with empty JSON payload,"API handles gracefully, returns failure",,Execute POST request via API client,Appropriate error handled,,Not Executed,,,Medium,No,Yes
TC_AUTH_005,RQ_AUTH_01,Negative,Verify token generation with missing username,API is accessible,Send POST request to /auth missing username field,API returns failure message,,Execute POST request via API client,Token not generated,,Not Executed,,,High,No,Yes
TC_AUTH_006,RQ_AUTH_01,Negative,Verify token generation with missing password,API is accessible,Send POST request to /auth missing password field,API returns failure message,,Execute POST request via API client,Token not generated,,Not Executed,,,High,No,Yes
TC_AUTH_007,RQ_AUTH_01,Security,Verify SQL Injection in username field,API is accessible,Send POST request to /auth with SQL injection payload in username,API rejects the payload securely,,Execute POST request via API client,No SQL exception or unauthorized access,,Not Executed,,,Critical,No,Yes
TC_BKG_GETIDS_001,RQ_BKG_01,Positive,Verify retrieval of all booking IDs,API is accessible,Send GET request to /booking without filters,API returns status code 200 and list of booking IDs,,Execute GET request via API client,List of booking IDs received,,Not Executed,,,High,No,Yes
TC_BKG_GETIDS_002,RQ_BKG_01,Positive,Verify filter by existing firstname,Bookings exist with specific firstname,Send GET request to /booking?firstname=<name>,API returns 200 and filtered list,,Execute GET request via API client,Filtered list received,,Not Executed,,,Medium,No,Yes
TC_BKG_GETIDS_003,RQ_BKG_01,Positive,Verify filter by existing lastname,Bookings exist with specific lastname,Send GET request to /booking?lastname=<name>,API returns 200 and filtered list,,Execute GET request via API client,Filtered list received,,Not Executed,,,Medium,No,Yes
TC_BKG_GETIDS_004,RQ_BKG_01,Positive,Verify filter by checkin date,Bookings exist with specific checkin date,Send GET request to /booking?checkin=<date>,API returns 200 and filtered list,,Execute GET request via API client,Filtered list received,,Not Executed,,,Medium,No,Yes
TC_BKG_GETIDS_005,RQ_BKG_01,Positive,Verify filter by checkout date,Bookings exist with specific checkout date,Send GET request to /booking?checkout=<date>,API returns 200 and filtered list,,Execute GET request via API client,Filtered list received,,Not Executed,,,Medium,No,Yes
TC_BKG_GETIDS_006,RQ_BKG_01,Negative,Verify filter by non-existent firstname,API is accessible,Send GET request to /booking?firstname=nonexistentname,API returns 200 and empty list [],,Execute GET request via API client,Empty list received,,Not Executed,,,Low,No,Yes
TC_BKG_GETIDS_007,RQ_BKG_01,Negative,Verify filter by invalid date format,API is accessible,Send GET request to /booking?checkin=invalid-date,API handles invalid format gracefully (e.g. 400 or empty 200),,Execute GET request via API client,Graceful handling,,Not Executed,,,Low,No,Yes
TC_BKG_GET_001,RQ_BKG_02,Positive,Verify retrieval of existing booking by ID,Booking ID exists,Send GET request to /booking/<id>,API returns 200 and booking details,,Execute GET request via API client,Booking details match created data,,Not Executed,,,High,No,Yes
TC_BKG_GET_002,RQ_BKG_02,Positive,Verify Accept header application/xml,Booking ID exists,Send GET request to /booking/<id> with Accept: application/xml,API returns 200 and XML response,,Execute GET request via API client,XML response format received,,Not Executed,,,Medium,No,Yes
TC_BKG_GET_003,RQ_BKG_02,Negative,Verify retrieval with non-existent ID,API is accessible,Send GET request to /booking/9999999,API returns 404 Not Found,,Execute GET request via API client,404 Not Found,,Not Executed,,,High,No,Yes
TC_BKG_GET_004,RQ_BKG_02,Negative,Verify retrieval with string ID instead of int,API is accessible,Send GET request to /booking/invalidID,API returns 404 or 400,,Execute GET request via API client,Proper error code,,Not Executed,,,Medium,No,Yes
TC_BKG_GET_005,RQ_BKG_02,Negative,Verify retrieval with special characters in ID,API is accessible,Send GET request to /booking/@#$,API returns 404 or 400,,Execute GET request via API client,Proper error code,,Not Executed,,,Medium,No,Yes
TC_BKG_POST_001,RQ_BKG_03,Positive,Verify booking creation with valid JSON data,API is accessible,Send POST to /booking with valid JSON payload,"API returns 200, bookingid and booking details",,Execute POST request via API client,Booking is successfully created,,Not Executed,,,Critical,No,Yes
TC_BKG_POST_002,RQ_BKG_03,Positive,Verify booking creation with XML payload,API is accessible,Send POST to /booking with valid XML payload and Content-Type: text/xml,API returns 200 and created booking,,Execute POST request via API client,Booking created from XML,,Not Executed,,,Medium,No,Yes
TC_BKG_POST_003,RQ_BKG_03,Negative,Verify booking creation missing firstname,API is accessible,Send POST to /booking missing firstname in JSON,API returns 500 or 400 Bad Request,,Execute POST request via API client,Booking is rejected,,Not Executed,,,High,No,Yes
TC_BKG_POST_004,RQ_BKG_03,Negative,Verify booking creation missing totalprice,API is accessible,Send POST to /booking missing totalprice,API returns 500 or 400,,Execute POST request via API client,Booking is rejected,,Not Executed,,,High,No,Yes
TC_BKG_POST_005,RQ_BKG_03,Negative,Verify booking creation missing bookingdates,API is accessible,Send POST to /booking missing bookingdates object,API returns 500 or 400,,Execute POST request via API client,Booking is rejected,,Not Executed,,,High,No,Yes
TC_BKG_POST_006,RQ_BKG_03,Negative,Verify booking creation with invalid date format,API is accessible,Send POST to /booking with checkin date '01-01-2018',API returns 500 or 400 (Expects YYYY-MM-DD),,Execute POST request via API client,Booking is rejected,,Not Executed,,,Medium,No,Yes
TC_BKG_POST_007,RQ_BKG_03,Boundary,Verify booking creation with negative totalprice,API is accessible,Send POST to /booking with totalprice: -100,API returns error or handles logically,,Execute POST request via API client,Booking may be rejected depending on biz logic,,Not Executed,Verify biz requirement,,Low,No,Yes
TC_BKG_POST_008,RQ_BKG_03,Boundary,Verify booking creation with very long firstname,API is accessible,Send POST to /booking with 1000 character firstname,API handles character limit gracefully,,Execute POST request via API client,Graceful handling,,Not Executed,,,Low,No,Yes
TC_BKG_PUT_001,RQ_BKG_04,Positive,Verify full update with valid data and Cookie token,"Booking ID exists, Token generated",Send PUT to /booking/<id> with valid payload and Cookie token,API returns 200 and updated booking,,Execute PUT request via API client,Booking is successfully updated,,Not Executed,,,Critical,No,Yes
TC_BKG_PUT_002,RQ_BKG_04,Positive,Verify full update with valid data and Basic Auth,Booking ID exists,Send PUT to /booking/<id> with valid payload and Basic Auth,API returns 200 and updated booking,,Execute PUT request via API client,Booking is successfully updated,,Not Executed,,,High,No,Yes
TC_BKG_PUT_003,RQ_BKG_04,Negative,Verify full update without authorization,Booking ID exists,Send PUT to /booking/<id> without Cookie or Basic Auth,API returns 403 Forbidden,,Execute PUT request via API client,Update is rejected,,Not Executed,,,Critical,No,Yes
TC_BKG_PUT_004,RQ_BKG_04,Negative,Verify full update with invalid token,Booking ID exists,Send PUT to /booking/<id> with invalid Cookie token,API returns 403 Forbidden,,Execute PUT request via API client,Update is rejected,,Not Executed,,,High,No,Yes
TC_BKG_PUT_005,RQ_BKG_04,Negative,Verify full update for non-existent ID,Token generated,Send PUT to /booking/999999 with valid payload and token,API returns 405 Method Not Allowed or 404,,Execute PUT request via API client,Update is rejected,,Not Executed,,,Medium,No,Yes
TC_BKG_PUT_006,RQ_BKG_04,Negative,Verify full update missing required fields,"Booking ID exists, Token generated",Send PUT to /booking/<id> missing depositpaid,API returns 400 Bad Request,,Execute PUT request via API client,Update is rejected,,Not Executed,,,High,No,Yes
TC_BKG_PUT_007,RQ_BKG_04,Edge,Verify full update with checkin > checkout date,"Booking ID exists, Token generated",Send PUT to /booking/<id> with checkin later than checkout,API should theoretically reject this business logic error,,Execute PUT request via API client,Update is rejected,,Not Executed,Verify biz logic,,Medium,No,Yes
TC_BKG_PATCH_001,RQ_BKG_05,Positive,Verify partial update of firstname only,"Booking ID exists, Token generated",Send PATCH to /booking/<id> with {firstname: new_name},API returns 200 and updated booking,,Execute PATCH request via API client,Only firstname is updated,,Not Executed,,,High,No,Yes
TC_BKG_PATCH_002,RQ_BKG_05,Positive,Verify partial update of totalprice and depositpaid,"Booking ID exists, Token generated",Send PATCH to /booking/<id> with updated price/deposit,API returns 200 and updated booking,,Execute PATCH request via API client,Only price/deposit are updated,,Not Executed,,,High,No,Yes
TC_BKG_PATCH_003,RQ_BKG_05,Negative,Verify partial update without authorization,Booking ID exists,Send PATCH to /booking/<id> without auth,API returns 403 Forbidden,,Execute PATCH request via API client,Update is rejected,,Not Executed,,,Critical,No,Yes
TC_BKG_PATCH_004,RQ_BKG_05,Negative,Verify partial update with invalid token,Booking ID exists,Send PATCH to /booking/<id> with invalid token,API returns 403 Forbidden,,Execute PATCH request via API client,Update is rejected,,Not Executed,,,High,No,Yes
TC_BKG_PATCH_005,RQ_BKG_05,Negative,Verify partial update for non-existent ID,Token generated,Send PATCH to /booking/999999,API returns 405 Method Not Allowed or 404,,Execute PATCH request via API client,Update is rejected,,Not Executed,,,Medium,No,Yes
TC_BKG_PATCH_006,RQ_BKG_05,Boundary,Verify partial update with empty payload,"Booking ID exists, Token generated",Send PATCH to /booking/<id> with empty JSON {},API returns 200 but nothing is updated,,Execute PATCH request via API client,Booking remains unchanged,,Not Executed,,,Low,No,Yes
TC_BKG_PATCH_007,RQ_BKG_05,Negative,Verify partial update with invalid field type,"Booking ID exists, Token generated",Send PATCH to /booking/<id> with totalprice as string 'abc',API returns 500 or 400,,Execute PATCH request via API client,Update is rejected,,Not Executed,,,Medium,No,Yes
TC_BKG_DEL_001,RQ_BKG_06,Positive,Verify deletion with valid ID and Cookie token,"Booking ID exists, Token generated",Send DELETE to /booking/<id> with Cookie token,API returns 201 Created (Confirmed deleted),,Execute DELETE request via API client,Booking is deleted,,Not Executed,,,Critical,No,Yes
TC_BKG_DEL_002,RQ_BKG_06,Positive,Verify deletion with valid ID and Basic Auth,Booking ID exists,Send DELETE to /booking/<id> with Basic Auth,API returns 201 Created,,Execute DELETE request via API client,Booking is deleted,,Not Executed,,,High,No,Yes
TC_BKG_DEL_003,RQ_BKG_06,Negative,Verify deletion without authorization,Booking ID exists,Send DELETE to /booking/<id> without auth,API returns 403 Forbidden,,Execute DELETE request via API client,Deletion is rejected,,Not Executed,,,Critical,No,Yes
TC_BKG_DEL_004,RQ_BKG_06,Negative,Verify deletion with invalid token,Booking ID exists,Send DELETE to /booking/<id> with invalid token,API returns 403 Forbidden,,Execute DELETE request via API client,Deletion is rejected,,Not Executed,,,High,No,Yes
TC_BKG_DEL_005,RQ_BKG_06,Negative,Verify deletion of non-existent ID,Token generated,Send DELETE to /booking/999999 with token,API returns 405 Method Not Allowed or 404,,Execute DELETE request via API client,Deletion fails,,Not Executed,,,Medium,No,Yes
TC_BKG_DEL_006,RQ_BKG_06,Negative,Verify deletion with string ID instead of int,Token generated,Send DELETE to /booking/invalidID,API returns 405 or 400,,Execute DELETE request via API client,Deletion fails,,Not Executed,,,Low,No,Yes
TC_BKG_DEL_007,RQ_BKG_06,Edge,Verify retrieving booking after successful deletion,Booking was deleted,Send GET to /booking/<deleted_id>,API returns 404 Not Found,,Execute GET request via API client,Booking not found,,Not Executed,,,High,No,Yes
TC_PING_001,RQ_PING_01,Positive,Verify health check returns success,API is accessible,Send GET request to /ping,API returns 201 Created,,Execute GET request via API client,Status is 201,,Not Executed,,,High,No,Yes
TC_PING_002,RQ_PING_01,Negative,Verify health check with unsupported method,API is accessible,Send POST request to /ping,API returns 404 or 405,,Execute POST request via API client,Appropriate error code,,Not Executed,,,Low,No,Yes
